;urdf: (Worldwide)
2009-03;0
2009-04;0
2009-05;0
2009-06;0
2009-07;8
2009-08;0
2009-09;0
2009-10;0
2009-11;0
2009-12;0
2010-01;0
2010-02;0
2010-03;13
2010-04;0
2010-05;0
2010-06;0
2010-07;0
2010-08;8
2010-09;0
2010-10;11
2010-11;0
2010-12;0
2011-01;0
2011-02;13
2011-03;14
2011-04;0
2011-05;0
2011-06;0
2011-07;0
2011-08;6
2011-09;11
2011-10;0
2011-11;0
2011-12;5
2012-01;0
2012-02;4
2012-03;5
2012-04;21
2012-05;11
2012-06;10
2012-07;6
2012-08;9
2012-09;10
2012-10;9
2012-11;8
2012-12;6
2013-01;7
2013-02;28
2013-03;19
2013-04;13
2013-05;9
2013-06;21
2013-07;10
2013-08;20
2013-09;9
2013-10;17
2013-11;0
2013-12;10
2014-01;12
2014-02;16
2014-03;22
2014-04;20
2014-05;12
2014-06;27
2014-07;11
2014-08;20
2014-09;21
2014-10;22
2014-11;11
2014-12;11
2015-01;17
2015-02;12
2015-03;18
2015-04;23
2015-05;15
2015-06;14
2015-07;24
2015-08;14
2015-09;13
2015-10;22
2015-11;21
2015-12;25
2016-01;9
2016-02;20
2016-03;22
2016-04;29
2016-05;25
2016-06;29
2016-07;23
2016-08;26
2016-09;33
2016-10;30
2016-11;47
2016-12;11
2017-01;26
2017-02;24
2017-03;36
2017-04;40
2017-05;40
2017-06;35
2017-07;40
2017-08;24
2017-09;37
2017-10;42
2017-11;37
2017-12;36
2018-01;30
2018-02;38
2018-03;34
2018-04;33
2018-05;41
2018-06;46
2018-07;44
2018-08;41
2018-09;45
2018-10;47
2018-11;60
2018-12;36
2019-01;37
2019-02;45
2019-03;43
2019-04;57
2019-05;45
2019-06;57
2019-07;61
2019-08;50
2019-09;45
2019-10;59
2019-11;58
2019-12;50
2020-01;39
2020-02;55
2020-03;59
2020-04;64
2020-05;68
2020-06;75
2020-07;58
2020-08;64
2020-09;50
2020-10;52
2020-11;47
2020-12;44
2021-01;52
2021-02;54
2021-03;66
2021-04;50
2021-05;53
2021-06;59
2021-07;53
2021-08;49
2021-09;46
2021-10;59
2021-11;59
2021-12;50
2022-01;65
2022-02;91
2022-03;100
2022-04;92
2022-05;90
2022-06;87
2022-07;74
2022-08;72
2022-09;60
2022-10;87
2022-11;79
2022-12;80
2023-01;84
2023-02;74
2023-03;91
2023-04;91
2023-05;98
