name,variant,sources_passed,sources_failed,all_sources,failed_files
2F-85 gripper,original,"['matlab', 'ros-industrial', 'random']",[],[],[]
3F gripper,articulated,"['drake', 'ros-industrial']",[],[],[]
3F gripper,original,"['drake', 'ros-industrial']",[],[],[]
ANYmal,original,"['oems', 'random']",[],[],[]
Baxter,original,"['matlab', 'oems']",[],[],[]
EVEr3,original,"['oems', 'random']",[],[],[]
Fetch,original,"['robotics-toolbox', 'random']",[],[],[]
Franka Panda,original,"['oems', 'random', 'matlab', 'robotics-toolbox']",[],[],[]
Jackal,original,"['oems', 'matlab']",[],[],[]
Jaco J2N4S300,original,"['oems', 'robotics-toolbox']",[],[],[]
Jaco J2N6S200,original,"['matlab', 'oems']",[],[],[]
Jaco J2N6S300,original,"['matlab', 'oems']",[],[],[]
Jaco J2N7S300,original,"['oems', 'matlab']",[],[],[]
Jaco J2S6S300,original,"['oems', 'matlab']",[],[],[]
Jaco J2S7S300,original,"['matlab', 'oems']",[],[],[]
Jaco Two Arm,original,"['matlab', 'oems']",[],[],[]
Kinova Gen3,original,"['matlab', 'robotics-toolbox']",[],[],[]
Kuka lbr iiwa 14,original,"['ros-industrial', 'robotics-toolbox', 'matlab']",[],[],[]
Kuka lbr iiwa 7,original,"['random', 'matlab']",[],[],[]
LR Mate 200iB,original,"['ros-industrial', 'matlab']",[],[],[]
M-16iB,original,"['matlab', 'ros-industrial']",[],[],[]
Mico M1N4S200,original,"['matlab', 'oems']",[],[],[]
Mico M1N6S200,original,"['oems', 'matlab']",[],[],[]
Mico M1N6S300,original,"['oems', 'matlab']",[],[],[]
Motoman MH5,original,"['ros-industrial', 'matlab']",[],[],[]
Open Manipulator,original,['matlab'],['oems'],['oems'],['urdf_files/oems/xacro_generated/open-manipulator_robotis/open_manipulator_description/urdf/open_manipulator.urdf']
PR2,original,"['random', 'matlab', 'robotics-toolbox']",['drake'],['drake'],['urdf_files/drake/pr2/pr2_description/urdf/pr2_simplified.urdf']
Pioneer 3AT,original,"['matlab', 'oems']",[],[],[]
Pioneer 3DX,original,"['matlab', 'oems']",[],[],[]
Pioneer LX,original,"['matlab', 'oems']",[],[],[]
QArm,original,"['oems', 'matlab']",[],[],[]
Spot,original,"['random', 'oems']",[],[],[]
Turtlebot 3 Burger,original,"['oems', 'matlab']",[],[],[]
Turtlebot 3 Waffle,for Open Manipulator,"['matlab', 'oems']",[],[],[]
Turtlebot 3 Waffle,original,"['matlab', 'oems']",[],[],[]
UR10,original,"['ros-industrial', 'random', 'matlab', 'robotics-toolbox']",[],[],[]
UR10e,original,"['matlab', 'ros-industrial']",[],[],[]
UR3,original,"['robotics-toolbox', 'ros-industrial', 'matlab']",[],[],[]
UR3e,original,"['matlab', 'ros-industrial']",[],[],[]
UR5,original,"['random', 'ros-industrial', 'matlab', 'robotics-toolbox']",[],[],[]
UR5e,original,"['matlab', 'ros-industrial']",[],[],[]
Valkyrie,original,"['matlab', 'robotics-toolbox', 'robotics-toolbox', 'robotics-toolbox', 'robotics-toolbox', 'robotics-toolbox', 'robotics-toolbox', 'robotics-toolbox', 'robotics-toolbox', 'robotics-toolbox', 'robotics-toolbox', 'robotics-toolbox', 'robotics-toolbox', 'robotics-toolbox', 'robotics-toolbox', 'random', 'random', 'random', 'random', 'random', 'random', 'random', 'random', 'random', 'random', 'random', 'random', 'random', 'random']","['robotics-toolbox', 'robotics-toolbox', 'random', 'random']","['robotics-toolbox', 'robotics-toolbox', 'random', 'random']","['urdf_files/robotics-toolbox/val_description/model/robots/imu_test.urdf', 'urdf_files/robotics-toolbox/val_description/model/robots/test_bench.urdf', 'urdf_files/random/robot-assets/val_description/model/robots/imu_test.urdf', 'urdf_files/random/robot-assets/val_description/model/robots/test_bench.urdf']"
YuMi,original,"['robotics-toolbox', 'random', 'matlab']",[],[],[]
