manufacturer;count;organization;main usage;urdf in search;provides urdf;still operating;;urdf links;urdf links;
Fanuc;42;robotics company;industrial;no;no;yes;;;;
KUKA;26;robotics company;industrial;no;no;yes;;;;
Kinova Robotics;25;robotics company;industrial;yes;yes;yes;;https://github.com/Kinovarobotics/ros_kortex/tree/kinetic-devel/kortex_description/arms/gen3;https://github.com/Kinovarobotics/ros_kortex/tree/kinetic-devel/kortex_description/arms/gen3_lite;
Universal Robots;24;automation company;industrial;no;yes;yes;;https://github.com/UniversalRobots/Universal_Robots_ROS2_Description;;
ABB;32;automation company;industrial;no;no;yes;;;;
ROBOTIS;16;robotics company;"industrial;research";no;yes;yes;;https://github.com/ROBOTIS-GIT/open_manipulator;https://github.com/ROBOTIS-GIT/turtlebot3;
Staubli;12;mechatronics company;industrial;no;no;yes;;;;
Robotiq;12;;industrial;no;no;yes;;;;
Trossen Robotics;11;;research;no;yes;yes;;https://www.trossenrobotics.com/docs/interbotix_xsarms/ros_packages/arm_descriptions.html;;
Franka Emika;7;automation company;industrial;cannot search;yes;yes;;https://frankaemika.github.io/docs/franka_ros.html;;
Adept Mobile Robots;7;;research;non-operational;yes;no;http://wiki.ros.org/AdeptMobileRobots;https://github.com/MobileRobots/amr-ros-config;;
Yaskawa Motoman;6;;industrial;yes;(yes);yes;;https://github.com/ros-industrial/motoman;developed by ros industrial ;
Boston Dynamics;6;robotics company;"industrial;research";no;yes;yes;;https://dev.bostondynamics.com/docs/concepts/robot_services;;
Schunk;6;machine industry company;industrial;no;no;yes;;;;
Onrobot;6;;industrial;cannot search;no;yes;;;;
Fetch Robotics;4;;"industrial;research";cannot search;no;yes;https://docs.fetchrobotics.com/robot_hardware.html;;;
Clearpath Robotics;4;robotics company;research;yes;yes;yes;;http://www.clearpathrobotics.com/assets/guides/kinetic/jackal/description.html;links to ros;
Willow Garage;4;robotics company;research;non-operational;yes;no;;;ROS;
Quanser;4;;research;yes;yes;yes;;https://github.com/quanser/qarm_description;;
Rethink Robotics;3;robotics company;industrial;cannot search;yes;yes;;https://github.com/RethinkRobotics/baxter_common;;
NASA;3;government agency;research;no;yes;yes;;https://gitlab.com/nasa-jsc-robotics/val_description;;
Halodi;2;;industrial;cannot search;yes;yes;;https://github.com/Halodi/halodi-robot-models;;
ANYbotics;2;;industrial;no;yes;yes;;https://github.com/ANYbotics/anymal_b_simple_description;;
Wonik Robotics;2;;industrial;cannot search;no;yes;;;;
Paaila Technology;1;;industrial;cannot search;no;yes;;;;
Unknown;1;;;non-operational;non-operational;no;;;;
Star Wars Character;1;;;non-operational;non-operational;no;R2D2;;;
Barrett Technology;1;robotics company;industrial;no;no;yes;;;;
Mobile Industrial Robots;1;;industrial;no;no;yes;;;;
Lynxmotion;1;;research;no;no;yes;;;;
Unimation;1;robotics company;industrial;non-operational;no;no;bought by Staubli;;;
Mecademic Robotics;1;;industrial;no;yes;yes;;https://github.com/Mecademic/ROS;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
